Text#,Type,Issued,Title,Language,Authors,Subjects,LoCC,Bookshelves
41112,Text,2012-10-19,Histoire de la Littérature Anglaise (Volume 4 de 5),fr,"Taine, Hippolyte, 1828-1893",English literature -- History and criticism,PR,France; FR Littérature; Browsing: History - British; Browsing: Literature
41113,Text,2012-10-19,Annette Laïs,fr,"Féval, Paul, 1817-1887",Actresses -- Fiction; Nobility -- France -- Fiction; French fiction -- 19th century,PQ,FR Littérature; Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
41114,Text,2012-10-19,Histoire de la Littérature Anglaise (Volume 5 de 5),fr,"Taine, Hippolyte, 1828-1893",English literature -- History and criticism,PR,France; FR Littérature; Browsing: History - British; Browsing: Literature
41115,Text,2012-10-19,Solomon and Solomonic Literature,en,"Conway, Moncure Daniel, 1832-1907","Solomon, King of Israel; Hebrew literature -- History and criticism",BS,Browsing: History - Religious; Browsing: Philosophy & Ethics; Browsing: Religion/Spirituality/Paranormal
41116,Text,2012-10-19,Curiosités Historiques et Littéraires,fr,"Muller, Eugène, 1826-1913",Literary curiosa; Literature -- Miscellanea,PN,FR Littérature; Browsing: Culture/Civilization/Society; Browsing: Literature
41117,Text,2012-10-20,Dorothy at Skyrie,en,"Raymond, Evelyn, 1843-1910","Friendship -- Juvenile fiction; Gold mines and mining -- Juvenile fiction; Farm life -- Juvenile fiction; Families -- Juvenile fiction; Chester, Dorothy (Fictitious character) -- Juvenile fiction; Parents -- Juvenile fiction; Ponies -- Juvenile fiction; Social adjustment -- Juvenile fiction",PZ,Browsing: Children & Young Adult Reading; Browsing: Fiction
41118,Text,2012-10-20,The Old Glade (Forbes's) Road (Pennsylvania State Road),en,"Hulbert, Archer Butler, 1873-1933","United States -- History -- French and Indian War, 1754-1763; Forbes Road (Pa.)",E151; HE,Browsing: History - American; Browsing: History - General; Browsing: History - Warfare
41119,Text,2012-10-21,"A Russian Proprietor, and Other Stories",en,"Tolstoy, Leo, graf, 1828-1910; Dole, Nathan Haskell, 1852-1935 [Translator]","Russia -- Social life and customs -- Fiction; Tolstoy, Leo, graf, 1828-1910 -- Translations into English",PG,Browsing: Culture/Civilization/Society; Browsing: Literature; Browsing: Fiction
41120,Text,2012-10-20,Bathseba: Davidin puheluja itsensä kanssa,fi,"Kilpi, Volter, 1874-1939","David, King of Israel -- Fiction",PH,Browsing: History - General; Browsing: Literature; Browsing: Fiction
41121,Text,2012-10-21,"Histoire des salons de Paris (Tome 2/6)
Tableaux et portraits du grand monde sous Louis XVI, Le Directoire, le Consulat et l'Empire, la Restauration et le règne de Louis-Philippe Ier",fr,"Abrantès, Laure Junot, duchesse d', 1784-1838",Paris (France) -- Social life and customs; Paris (France) -- Intellectual life; Salons -- France -- Paris,DC,"FR Biographie, Mémoires, Journal intime, Correspondance; FR Chroniques; Browsing: Biographies; Browsing: Culture/Civilization/Society; Browsing: History - European"
41122,Text,2012-10-21,Rayton: A Backwoods Mystery,en,"Roberts, Theodore Goodridge, 1877-1953; Goss, John, 1886-1963 [Illustrator]",Fiction,PS,Browsing: Literature; Browsing: Fiction
41123,Text,2012-10-21,"Voyage à Cayenne, dans les deux Amériques et chez les anthropophages (Vol. 1 de 2)",fr,"Pitou, Louis Ange, 1767-1846",Crime -- France; Exiles -- French Guiana -- Cayenne; Cannibalism; French Guiana -- Description and travel,F2351,FR Voyages et pays; Browsing: Culture/Civilization/Society; Browsing: History - General; Browsing: Travel & Geography
41124,Text,2012-10-21,"Voyage à Cayenne, dans les deux Amériques et chez les anthropophages (Vol. 2 de 2)",fr,"Pitou, Louis Ange, 1767-1846",Crime -- France; Exiles -- French Guiana -- Cayenne; Cannibalism; French Guiana -- Description and travel,F2351,FR Voyages et pays; Browsing: Culture/Civilization/Society; Browsing: History - General; Browsing: Travel & Geography
41125,Text,2012-10-21,"Mr. Jacobs: A Tale of the Drummer, the Reporter, and the Prestidigitateur",en,"Bates, Arlo, 1850-1918","Crawford, F. Marion (Francis Marion), 1854-1909. Mr. Isaacs -- Parodies, imitations, etc.",PS,Browsing: Literature
41126,Text,2012-10-21,The Wolf Cub: A Novel of Spain,en,"Casey, Patrick, 1893-; Casey, Terence; Taylor, Henry Weston, 1881- [Illustrator]",Spain -- Fiction,PS,Browsing: Literature; Browsing: Travel & Geography; Browsing: Fiction
41127,Text,2012-10-21,"Rose in Bloom
A Sequel to 'Eight Cousins'",en,"Alcott, Louisa May, 1832-1888",Young women -- Juvenile fiction; Cousins -- Juvenile fiction; New England -- Juvenile fiction; Families -- Juvenile fiction,PZ,Browsing: Children & Young Adult Reading; Browsing: Literature; Browsing: Fiction
41128,Text,2012-10-21,The Kādambarī of Bāṇa,en,"Bāṇa‏; Bhūṣaṇabhaṭṭa; Ridding, C. M. (Caroline Mary), 1862-1941 [Translator]",Reincarnation -- Fiction; Sanskrit fiction -- Translations into English,PK,Browsing: Literature; Browsing: Fiction
41129,Text,2012-10-21,The Way to Win,en,"Le Queux, William, 1864-1927","World War, 1914-1918 -- Naval operations, British; World War, 1914-1918 -- Aerial operations, British; World War, 1914-1918 -- Economic aspects; World War, 1914-1918 -- Participation, British",DA; D501,Browsing: History - General; Browsing: History - Warfare
41130,Text,2012-10-21,The Stolen Statesman: Being the Story of a Hushed Up Mystery,en,"Le Queux, William, 1864-1927",Detective and mystery stories; London (England) -- Fiction; Politicians -- Fiction; Kidnapping -- Fiction,PR,Browsing: Crime/Mystery; Browsing: Politics; Browsing: Fiction
41131,Text,2012-10-21,"Number 70, Berlin: A Story of Britain's Peril",en,"Le Queux, William, 1864-1927","World War, 1914-1918 -- Fiction; War stories",PR,Browsing: History - Warfare; Browsing: Literature; Browsing: Fiction
